"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Am Katzenbach, Katzenbachweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Freizeitanlage Seebach","","2620.0000000000","","","","","","","","","","","","","","","","8052","sp164","","1","","Spiel- und Liegewiese, Federwippe, Rotationsgerät, Sitzbänke, kleine Spielanlage","+41 44 412 06 77","","","","","","Am Katzenbach, Katzenbachweg","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Am%20Katzenbach,%20Katzenbachweg&tolat=47.42343904&tolon=8.54656090","164","J","0 - 5 Jahre","Federwippe, Rotationsgerät","","","kleine Spielanlage","Spielplatz","Spiel- und Liegewiese","0164","POINT (2683598 1253105)"
"","Döltschiweg 130 (Spielplatz)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Heuried Erlebnisgarten","","2621.0000000000","","","","","","","","","","","","","","","","8055","sp074a","","1","","Tiergehege, Balanciergerät, Seilanlage, Kletterturm, Hängematte,  Rutsche, Korbschaukel, Partnerschaukel, Wasserförderanlage, Tischtennistisch, Sitzbänke, Feuerstellen, Gemeinschaftszentrum mit Tieren,  grosszügige Anlage","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Döltschiweg%20130%20(Spielplatz)&tolat=47.36727637&tolon=8.50306478","74a","J","0 - 16 Jahre","Balanciergerät, Seilanlage, Kletterturm, Hängematte,  Rutsche, Korbschaukel, Partnerschaukel, Wasserförderanlage, Tischtennistisch","","","Gemeinschaftszentrum mit Tieren,  grosszügige Anlage","GZ mit Spielplatz","Tiergehege","0074A","POINT (2680401 1246815.9)"
"","Weststrasse / Werdstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz_Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<br>Damit will man dieses Quartier aufwerten.<br>","","","Spielplatz","","Weststrasse / Werdstrasse","","2643.0000000000","","","","","","","","","","","","","","","","","sp9643","","0","","","+41 44 412 46 13","","","","","","Weststrasse / Werdstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Weststrasse 20","","N","","","","","","","","TAZ003","POINT (2681955 1247062)"
"","","","","","","Grün Stadt Zürich","202412191112","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","TC Mythenquai 2TC Mythenquai 2","","2644.0000000000","","","","","","","","","","","","","","","","","sp9651","","1","","","","","","","","","","","","J","10 - 99","Calisthenics","","","","","","SPA002","POINT (2682769 1245050.1)"
"","Riedgrabenweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Schörli-Grünzug","","2645.0000000000","","","","","","","","","","","","","","","","8050","sp011","","1","","Spiel- und Liegewiese, Kletteranlage, Balanciergerät, Hangrutsche, Kletteranlage mit Rutsche, Brettschaukel, Federwippe, Sandbereich, Sitzbänke","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Riedgrabenweg&tolat=47.41010788&tolon=8.56021211","11","J","0 - 9 Jahre","Kletteranlage, Balanciergerät, Hangrutsche, Kletteranlage mit Rutsche, Brettschaukel, Federwippe, Sandbereich","","","grosszügiger Grünzug","Spielplatz","Spiel- und Liegewiese","0011","POINT (2684649.2 1251637.6)"
"","Ampèrestrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Wipkingen","","2646.0000000000","","","","","","","","","","","","","","","","8037","sp031","","1","","Spiel- und Liegewiese, Planschbecken, Wasserspiel, Kletteranlage mit Rutsche, Brettschaukel, Korbschaukel, Sandbereich, Sandspielgerät, Seilanlage, Kletterelement, Kletteranlage, Sitzbänke, Brunnen, Gemeinschaftszentrum, Cafe, Limmat, Tiere","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Ampèrestrasse&tolat=47.39284361&tolon=8.52015986","31","J","0 - 16 Jahre","Wasserspiel, Kletteranlage mit Rutsche, Brettschaukel, Korbschaukel, Sandbereich, Sandspielgerät, Seilanlage, Kletterelement, Kletteranlage","","","Gemeinschaftszentrum mit Cafe direkt an der Limmat, Kinderbauernhof mit Tieren","GZ mit Spielplatz","Spiel- und Liegewiese, Planschbecken","0031","POINT (2681653 1249675.9)"
"","Triemlifussweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Triemlifussweg","","2647.0000000000","","","","","","","","","","","","","","","","8055","sp070","","1","","Grünzug, Brettschaukel, Sandbereich,  Röhre, Brettschaukel, Sitzbänke","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Triemlifussweg&tolat=47.37025221&tolon=8.49932413","70","J","0 - 5 Jahre","Brettschaukel, Sandbereich,  Röhre, Brettschaukel","","","Ruhige Parkanlage","Spielplatz","Grünzug","0070","POINT (2680114 1247142.9)"
"","Schlossgasse/Wiedingstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Kollerwiese","","2648.0000000000","","","","","","","","","","","","","","","","8003","sp072","","1","","Spiel- und Liegewiese, Schlittelhang, Brettschaukel, Balanciergerät, Kletterelement, Findlinge, Sandbereich, Bockrutsche, Kletteranlage mit Rutsche, Federwippe, Züri-WC, Trinkbrunnen, Spielanimation,  Spielschiff","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schlossgasse/Wiedingstrasse&tolat=47.36821803&tolon=8.51915383","72","J","0 - 16 Jahre","Brettschaukel, Balanciergerät, Kletterelement, Findlinge, Sandbereich, Bockrutsche, Kletteranlage mit Rutsche, Federwippe","","","wunderschönes Spielschiff","Spielplatz","Spiel- und Liegewiese, Schlittelhang","0072","POINT (2681614.8 1246937.1)"
"","Stöckenhaldenweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchholz","","2649.0000000000","","","","","","","","","","","","","","","","8053","sp053","","1","","Spiel- und Liegewiese, Spielhügel, Waldspielplatz, Findlinge, Federwippe, Sandbereich,  Pumpen, Schwingwippe, Brettschaukel,  Kletterelement, Hangrutsche, Riesenschaukel, Kletteranlage, Tischtennistisch, WC, Sitzbänke, Feuerstellen, Ausflugsziel","+41 44 381 01 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Stöckenhaldenweg&tolat=47.36140286&tolon=8.58440542","53","J","0 - 16 Jahre","Findlinge, Federwippe, Sandbereich,  Pumpen, Schwingwippe, Brettschaukel,  Kletterelement, Hangrutsche, Riesenschaukel, Kletteranlage mit Rutsche, Tischtennistisch","","","beliebtes Ausflugsziel","Spielplatz","Spiel- und Liegewiese, Spielhügel, Waldspielplatz","0053","POINT (2686554 1246249.4)"
"","Letzigraben/Badener-/Brahmsstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Heiligfeld","","2650.0000000000","","","","","","","","","","","","","","","","8003","sp105","","1","","Spiel- und Liegewiese, Kletterfelsen, Kiesplatz, Kletteranlage mit Rutsche, Kletterelement, Sandbereich, Wasserspiel, Brettschaukel, Sitzbänke, Brunnen, Baumbestand","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Letzigraben/Badener-/Brahmsstrasse&tolat=47.37962830&tolon=8.50506093","105","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Kletterelement, Sandbereich, Wasserspiel, Brettschaukel","","","grosszügige Spielanlage mit schönem Baumbestand","Spielplatz","Spiel- und Liegewiese, Kletterfelsen, Kiesplatz","0105","POINT (2680533 1248191.1)"
"","Hohensteinstrasse/Schwendenholz-/Hohensteinweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hohenstein","","2672.0000000000","","","","","","","","","","","","","","","","8055","sp145","","1","","Spiel- und Liegewiese, Kletterelement, Korbschaukel, Brettschaukel, Kletteranlage mit Rutsche, Klettergerät, Balanciergerät, Sitzbänke, Feuerstelle, Brunnen, Waldspielplatz,Waldlichtung, Aussicht","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hohensteinstrasse/Schwendenholz-/Hohensteinweg&tolat=47.36114200&tolon=8.4872945","145","J","0 - 9 Jahre","Kletterelement, Korbschaukel, Brettschaukel, Kletteranlage mit Rutsche, Klettergerät, Balanciergerät","","","Waldspielplatz in schöner Waldlichtung, Aussicht","Spielplatz","Spiel- und Liegewiese","0145","POINT (2679219 1246117.9)"
"","Hard-/Bullingerstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Bullingerhof","","2673.0000000000","","","","","","","","","","","","","","","","8004","sp106","","1","","Spiel- und Liegewiese, grosse Kiesfläche, Spielhügel, Sandkasten, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Pendelschaukel, Wasserförderanlage, Brettschaukel, Tischtennistisch, Sitzbänke, Planschbecken, Brunnen, Züri-WC, Baumbestand","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hard-/Bullingerstrasse&tolat=47.37944615&tolon=8.51379470","106","J","0 - 9 Jahre","Sandkasten, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Pendelschaukel, Wasserförderanlage, Brettschaukel, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","Spiel- und Liegewiese, grosse Kiesfläche, Spielhügel","0106","POINT (2681192.8 1248179.9)"
"","Scheideggstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rieterpark - Scheideggstrasse","","2674.0000000000","","","","","","","","","","","","","","","","8002","sp078b","","1","","Spiel- und Liegewiese, Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sandkasten, Sitzbänke, grosszügige, historische Parkanlage, Museum Rietberg","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Scheideggstrasse&tolat=47.35636476&tolon=8.52943641","78b","J","0 - 5 Jahre","Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sandkasten","","","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","Spiel- und Liegewiese","0078B","POINT (2682409.5 1245630.1)"
"","Bauherrenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sonnegg/Bauherrenstrasse","","2675.0000000000","","","","","","","","","","","","","","","","8049","sp092","","1","","grosse, terrassierte Kiesfläche, Rutsche, Brettschaukel, Sandbereich, Federwippe, Hüpfteller, Sitzbänke, Aussicht","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bauherrenstrasse&tolat=47.40155094&tolon=8.49774121","92","J","0 - 5 Jahre","Rutsche, Brettschaukel, Sandbereich, Federwippe, Hüpfteller","","","ruhig gelegene Anlage mit schöner Aussicht","Spielplatz","grosse, terrassierte Kiesfläche","0092","POINT (2679947.5 1250620.8)"
"","Schürbungert/Steinkluppenweg/Anna Heer Strasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Steinkluppenanlage","","2676.0000000000","","","","","","","","","","","","","","","","8057","sp021","","1","","Spiel- und Liegewiese, Brettschaukel, Kletteranlage mit Rutsche, Sandbereich, Brunnen,  Sitzbänke, Rollschuhbahn","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schürbungert/Steinkluppenweg/Anna%20Heer%20Strasse&tolat=47.40087611&tolon=8.540","21","J","0-5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Sandbereich","","","Rollschuhbahn","Spielplatz","Spiel- und Liegewiese","0021","POINT (2683151 1250589.9)"
"","Seestrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Wollishofen (Strandbad)","","2677.0000000000","","","","","","","","","","","","","","","","8038","sp180","","1","","Spiel- und Liegewiese, Brettschaukel, Sitzbänke, Spielanlage","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Seestrasse&tolat=47.34077929&tolon=8.53789341","180","J","0 - 9 Jahre","Brettschaukel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0180","POINT (2683072.8 1243906.5)"
"","Waidbadstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Waidbad","","2678.0000000000","","","","","","","","","","","","","","","","8037","sp089","","1","","Spiel- und Liegewiese, Balkenwippe, Brettschaukel, Balanciergerät, Balanciergerät, Kletterelement, Pumpe,  Wasserspiel, Kletterelement, Brettschaukel, Sitzbänke, Feuerstellen, Waldrand, Ausflugsziel","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Waidbadstrasse&tolat=47.40319042&tolon=8.51537593","89","J","0 - 9 Jahre","Balkenwippe, Brettschaukel, Balanciergerät, Balanciergerät, Kletterelement, Pumpe,  Wasserspiel, Kletterelement, Brettschaukel","","","ruhig gelegener Spielplatz am Waldrand neben Tennisanlage Waidberg, beliebtes Ausflugsziel","Spielplatz","Spiel- und Liegewiese","0089","POINT (2681276 1250821.1)"
"","Bullingerstrasse/ Hardauweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardau","","2701.0000000000","","","","","","","","","","","","","","","","8004","sp125","","1","","Kiesplatz, Weidendschungel, Wasserförderanlage, Stangenlabyrinth, Balanciergerät, Hängematte, Sandbereich, Korbschaukel,  Pumpe, Kletteranlage, Rutsche, Sitzbänke","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bullingerstrasse/%20Hardauweg&tolat=47.38298665&tolon=8.50936222","125","J","0 - 9 Jahre","Wasserförderanlage, Stangenlabyrinth, Balanciergerät, Hängematte, Sandbereich, Korbschaukel,  Pumpe, Kletteranlage mit Rutsche","","","Quartierspielplatz","Spielplatz","Kiesplatz, Weidendschungel","0125","POINT (2680852.8 1248568.9)"
"","Zeuner-/Kyburg-/Landenbergstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Landenberganlage","","2702.0000000000","","","","","","","","","","","","","","","","8037","sp032","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch, Sitzbänke, Baumbestand","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zeuner-/Kyburg-/Landenbergstrasse&tolat=47.39209294&tolon=8.52729748","32","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch","","","grosszügig Parkanlage mit altem Baumbestand","Spielplatz","Spiel- und Liegewiese","0032","POINT (2682193 1249599.9)"
"6","Eigenheimstrasse / Heimatstrasse 6","Eigenheimstrasse / Heimatstrasse","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Eigenheimstrasse / HeimatstrasseEigenheimstrasse / Heimatstrasse","","2703.0000000000","","","","","","","","","","","","","","","Zürich","","sp9576","","1","","","+41 44 412 46 13","","","","","","Eigenheimstrasse / Heimatstrasse 6","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Eigenheimstrasse%20/%20Heimatstrasse%206&tolat=47.35402358&tolon=8.5","","N","Spielplatznummer: 171","","","","","","","0167","POINT (2684271 1245396)"
"","Sirius-/Hochstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Siriuswiese","","2704.0000000000","","","","","","","","","","","","","","","","8044","sp043","","1","","Spiel- und Liegewiese, Sandbereich, Balanciergerät, Rutsche, Klettergerät, Brettschaukel, Federwippe,  Korbschaukel, Kletterturm, Pumpen, Sitzbänke, Brunnen","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Sirius-/Hochstrasse&tolat=47.38079112&tolon=8.55281600","43","J","0 - 9 Jahre","Sandbereich, Balanciergerät, Rutsche, Klettergerät, Brettschaukel, Federwippe,  Korbschaukel, Kletterturm, Pumpen","","","Einzigartiger Quartierspielplatz","Spielplatz","Spiel- und Liegewiese","0043","POINT (2684137.2 1248370.5)"
"","Zurlindenstrasse 235","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Zurlindenhof II","","2705.0000000000","","","","","","","","","","","","","","","","8003","sp063","","1","","Spiel- und Liegewiese, Sandbereich, Seilanlage mit Rutsche, Balanciergerät, Brettschaukel, Sitzbänke","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zurlindenstrasse%20235&tolat=47.37526598&tolon=8.51268960","63","J","0 - 9 Jahre","Sandbereich, Seilanlage mit Rutsche, Balanciergerät, Brettschaukel","","","ruhiger Innenhof mit Kinderhort und -garten","Spielplatz","Spiel- und Liegewiese","0063","POINT (2681115.8 1247714)"
"","Loogartenstrasse/Am Suteracher","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Am Suteracher","","2706.0000000000","","","","","","","","","","","","","","","","8048","sp097","","1","","Spiel- und Liegewiese, Federwippe, Rotationsgerät,  Brettschaukel, Hangrutsche, Sandbereich, Sitzbänke","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Loogartenstrasse/Am%20Suteracher&tolat=47.38964247&tolon=8.47290158","97","J","0 - 5 Jahre","Federwippe, Rotationsgerät,  Brettschaukel, Hangrutsche, Sandbereich","","","kleine, hügelige Spielanlage","Spielplatz","Spiel- und Liegewiese","0097","POINT (2678090 1249271.9)"
"","Schärenmoosstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Schärenmooswiese","","2707.0000000000","","","","","","","","","","","","","","","","8052","sp004","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Federwippe,  Balanciergerät, Brettschaukel, Sandbereich, Sitzbänke, Tisch","+41 44 412 06 77","","","","","","Schärenmoosstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schärenmoosstrasse&tolat=47.42129093&tolon=8.55200315","4","J","0 - 16 Jahre","Kletteranlage mit Rutsche, Federwippe,  Balanciergerät, Brettschaukel, Sandbereich","","","Umbau 2016","Spielplatz","Spiel- und Liegewiese","0004","POINT (2684012 1252872)"
"","Oetenbachgasse/Lindenhofstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Urania","","2708.0000000000","","","","","","","","","","","","","","","","8001","sp064","","1","","Spiel- und Liegewiese, Sandbereich, Federwippe,  Hangrutsche, Klettergerät, Kombischaukel, Sitzbänke, WC, Aussicht","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Oetenbachgasse/Lindenhofstrasse&tolat=47.37354229&tolon=8.54115700","64","J","0 - 5 Jahre","Sandbereich, Federwippe,  Hangrutsche, Klettergerät, Kombischaukel","","","abwechslungsreiche Anlage mit Aussicht über die Altstadt","Spielplatz","Spiel- und Liegewiese","0064","POINT (2683268.2 1247552.1)"
"","Weststrasse 4","Postfach","","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","4","1__","Spielplatz","","","Spielplatz","","Manessestrasse / WeststrasseManessestrasse / Weststrasse","","2731.0000000000","","","","","","","","","","","","","","","Zürich","8036","sp9641","","0","Weststrasse","","+41 44 412 46 13","","","","","","Weststrasse 4","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Weststrasse 4","","N","","","","","","Kunstelement","","TAZ002","POINT (2682029 1247045)"
"","Im Schaber","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hasenrain","","2732.0000000000","","","","","","","","","","","","","","","","8047","sp144","","1","","Spiel- und Liegewiese, Klettergerät, Brettschaukel, Sitzbänke, Feuerstelle, Brunnen, Waldspielplatz, Waldlichtung, Aussicht","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Im%20Schaber&tolat=47.37536119&tolon=8.47859175","144","J","0 - 9 Jahre","Klettergerät, Brettschaukel","","","Waldspielplatz in Waldlichtung, schöne Aussicht","Spielwiese im Wald","Spiel- und Liegewiese","0144","POINT (2678540.5 1247689.9)"
"","Lindenhofstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lindenhof","","2733.0000000000","","","","","","","","","","","","","","","","8001","sp065","","1","","Kiesplatz, Brettschaukel, Sandbereich, Schachspiel, Sitzbänke, Brunnen, historische Anlage, Aussicht","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Lindenhofstrasse&tolat=47.37312377&tolon=8.54042216","65","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Schachspiel","","","historische Anlage mit schönem Lindenbestand und Aussicht auf die Altstadt","Spielplatz","Kiesplatz","0065","POINT (2683213.2 1247504.9)"
"","Hegianwandweg 127","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","127","0_","Spielplatz","","","Spielplatz","","Frauental TennisanlagFrauental Tennisanlag","sp0030","2734.0000000000","","","","","","","","","","","","","","","Zürich","8045","sp9105","","1","Hegianwandweg","sp0030","+41 44 461 21 17","","","","","","Hegianwandweg 127","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Hegianwandweg%20127&tolat=47.35423515&tolon=8.50690928","","N","","","","","","","","0030","POINT (2680711 1245370)"
"","Bellerivestrasse, Zürichhornanlage","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Blatterwiese","","2735.0000000000","","","","","","","","","","","","","","","","8008","sp058","","1","","Spiel-  und Liegewiese, Boulderwand, Brettschaukel, Rutsche,  Wasserspiel, Sprossengerät, Kletterelement, Hängematte, Balanciergerät, Sandbereich,  Einpunktschaukel, Wasserspiel, Pumpe, ZüriWC,   Sitzbänke, Liegebänke","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bellerivestrasse,%20Zürichhornanlage&tolat=47.35536216&tolon=8.55124783","58","J","0 - 9 Jahre","Brettschaukel, Rutsche,  Wasserspiel, Sprossengerät, Kletterelement, Hängematte, Balanciergerät, Sandbereich,  Einpunktschaukel, Wasserspiel, Pumpe","","","äusserst beliebter, einmaliger Spielplatz","Spielplatz","Spiel-  und Liegewiese, Boulderwand","0058","POINT (2684059 1245541.9)"
"","Gablerstrasse 20 (Spielplatz)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Quartiertreff Enge","","2736.0000000000","","","","","","","","","","","","","","","","8002","sp166","","1","","Spiel- und Liegewiese, Pumpe, Brettschaukel, Sandbereich, Matschtisch, Kletteranlage, Kletteranlage mit Rutsche, Korbschaukel, Spielhaus, Feuerstelle, Sitzbänke, Sonnenschirm, Quartiertreff, Café","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Gablerstrasse%2020%20(Spielplatz)&tolat=47.35972007&tolon=8.52948450","166","J","0 - 9 Jahre","Pumpe, Brettschaukel, Sandbereich, Matschtisch, Kletteranlage, Kletteranlage mit Rutsche, Korbschaukel, Spielhaus","","","Quartiertreff mit Café","Quartiertreff mit Spielplatz","Spiel- und Liegewiese","0166","POINT (2682408 1246003.2)"
"","Helvetiaplatz","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Kanzleiwiese","","2737.0000000000","","","","","","","","","","","","","","","","8004","sp110","","1","","Spiel- und Liegewiese, grosse Kiesfläche, Korbschaukel, Kletteranlage mit Rutsche, Wasserförderanlage, Hangrutsche, Sitzbänke, ZüriWC, Spielanimation, Brunnen, krumme und schiefe Spielanlage, Steinpyramiede","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Helvetiaplatz&tolat=47.37587500&tolon=8.52593527","110","J","0 - 9 Jahre","Korbschaukel, Kletteranlage mit Rutsche, Wasserförderanlage, Hangrutsche","","","krumme und schiefe Spielanlage, Steinpyramiede","Spielplatz","Spiel- und Liegewiese, grosse Kiesfläche","0110","POINT (2682115 1247795.5)"
